cuisine,recepies,ingredients
South Indian Recipes,Paal Kesari Recipe - South Indian Style Milk Kesari,"['semolina', ' ghee for', ' milk', ' sugar', ' saffron', ' cardamom', ' ghee', ' cashew nuts', ' raisins', ' fruits']"
Indian,Spicy Lemon Chicken Kebab Recipe,"['chicken', ' red bell pepper capsicum', ' onion', ' lemon juice', ' thyme leaves', ' red chilli flakes', ' black pepper powder', ' extra virgin olive oil', ' salt']"
North Indian Recipes,Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,"['rice', ' water', ' ghee', ' cardamom', ' star anise', ' cinnamon', ' black pepper', ' salt', ' bay leaf', ' onion bottom', ' green coriander', ' mint', ' of cheese', ' tomatoes', ' cream', ' onion chop', ' ginger', ' garlic', ' green chili', ' cardamom powder', ' cumin powder', ' garam masala powder', ' red chilli powder', ' honey', ' salt oil', ' tbsp cashews']"
South Indian Recipes,Kobari Charu recipe - Kobbari Charu Recipe,"['coconut milk', ' water', ' chana lentils', ' green chillies', ' oil', ' mustard', ' turmeric powder', ' cumin seeds', ' curry leaves', ' salt', ' coriander leaves']"
Continental,Carrot Corn Mayo Pancake Recipe With Sandwich Spread,"['carrot', ' sweet corn blanched', ' wheat flour', ' onion', ' del', ' coriander dhania leaves', ' curd dahi', ' eggs', ' baking powder', ' baking soda', ' green chillies', ' butter', ' salt', ' black pepper powder']"
South Indian Recipes,Waffle Broth Recipe - Puppet's Yamarinta Crovy,"['oil', ' mustard seeds', ' seeds fenugreek seeds', ' red chillies', ' onions sambar onions', ' curry leaves', ' dal papad', ' tamarind water', ' sambar powder', ' jaggery', ' turmeric powder haldi', ' water', ' salt']"
North Indian Recipes,North Indian Style Mushroom Matar Masala Recipe,"['mushrooms', ' green peas matar', ' sunflower oil', ' cumin seeds', ' mustard seeds', ' onion', ' onion paste', ' tomato paste', ' ginger garlic paste', ' green chilli', ' red chilli powder', ' turmeric powder', ' coriander powder', ' garam masala powder', ' water', ' coriander']"
North Indian Recipes,Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,"['coriander', ' green chillies', ' ginger', ' salt', ' lemon juice', ' kabuli chana', ' ghee', ' onion', ' ginger', ' garlic', ' cinnamon', ' bay leaf', ' brown cardamom badi', ' black salt', ' garam masala powder', ' coriander powder', ' black salt kala', ' salt', ' salt']"
South Indian Recipes,Capsicum Masala Poriyal (Recipe in Hindi),"['oil', ' mustard', ' capsicum yellow', ' capsicum red', ' capsicum green', ' onion', ' curry leaves', ' salt', ' peanuts roast', ' coconut', ' red chillies', ' garlic', ' cumin seeds', ' coriander']"
Indian,Cheese Stuffed Aloo Bonda Recipe,"['aloo boiled mashed', ' mozzarella cheese', ' mustard seeds', ' ginger', ' onion', ' green chillies', ' asafoetida hing', ' turmeric powder', ' coriander', ' sunflower oil', ' flour', ' turmeric powder', ' salt']"
North Indian Recipes,Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,"['paneer cottage cheese', ' garlic', ' ginger', ' red chillies', ' red bell pepper capsicum', ' cumin powder', ' coriander powder', ' garam masala powder', ' curd', ' butter', ' onions', ' tomato puree', ' cashews paste', ' cream', ' coriander dhania', ' lemon juice', ' turmeric powder haldi', ' lemon juice', ' turmeric powder haldi']"
North Indian Recipes,Nutty Aloo Paratha Recipe,"['wheat flour', ' spinach leaves palak pureed', ' water', ' aloo boiled mashed', ' homemade cottage cheese', ' coriander', ' garam masala powder', ' salt', ' cumin powder', ' red chilli', ' nuts', ' raisins', ' ghee']"
North Indian Recipes,Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,"['trumpet peel', ' mustard', ' cumin seeds', ' ginger', ' tomatoes puree', ' turmeric powder', ' red chilli powder', ' coriander powder', ' jaggery', ' oil', ' salt', ' water', ' coriander leaves']"
Indian,Pudina Mushroom And Soya Biryani Recipe,"['basmati rice parboiled', ' mushrooms', ' soy', ' onion', ' ginger', ' curd dahi yogurt', ' biryani masala', ' garlic', ' turmeric powder', ' garam masala powder', ' red chilli powder', ' mint leaves', ' salt', ' ghee', ' green chillies', ' seeds', ' bay leaf', ' star anise', ' cardamom', ' cloves', ' cinnamon stick']"
South Indian Recipes,White Vegetable Kurma Recipe With Coconut & Cashew,"['carrot', ' aloo chopped', ' cauliflower gobi', ' onion', ' ginger garlic paste', ' salt', ' sunflower oil', ' coconut', ' black peppercorns', ' green chillies', ' fennel seeds', ' poppy seeds', ' cashew nuts', ' cinnamon stick', ' star anise', ' cloves', ' cardamom', ' cumin seeds']"
Continental,Lemon Frozen Yogurt Recipe,"['lemon juice', ' curd', ' sugar powdered', ' cream', ' turmeric powder haldi', ' vanilla extract drops', ' orange zest rind', ' orange two wedges']"
Continental,Paneer Capsicum Sandwich Recipe,"['brown bread', ' paneer cottage cheese', ' green bell pepper capsicum', ' chilli', ' chaat masala', ' black pepper powder', ' butter', ' salt']"
North Indian Recipes,Dry Suran Masala Vegetable Recipe,"['elephant', ' onion', ' green chillies', ' ginger', ' garlic', ' curry leaves', ' cumin seeds', ' turmeric powder', ' coriander powder', ' cumin powder', ' red chilli powder', ' black pepper powder', ' garam masala powder', ' salt', ' sunflower oil']"
South Indian Recipes,One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,"['coconut oil', ' curry leaves', ' garlic', ' ginger', ' onion', ' tomatoes', ' turmeric powder', ' garam masala powder', ' red chilli powder', ' coriander powder', ' chicken', ' salt', ' water']"
South Indian Recipes,Togari Bell Thove Recipe - Tour Dal Juice,"['arhar dal split', ' water', ' turmeric powder', ' ginger', ' green chillies', ' tamarind', ' lemon juice', ' ghee', ' mustard seeds', ' asafoetida hing', ' leaves', ' coriander']"
North Indian Recipes,Mushroom Paratha Recipe,"['wheat flour', ' sunflower oil', ' salt', ' ghee', ' button', ' onion', ' cumin seeds', ' garam masala powder', ' green chillies', ' turmeric powder haldi', ' ghee']"
North Indian Recipes,Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,"['chana dal bengal gram', ' spinach', ' water', ' turmeric powder', ' salt', ' ghee', ' asafoetida hing', ' cumin seeds', ' red chillies', ' ginger garlic paste', ' onion', ' green chillies', ' tomato', ' turmeric powder', ' red chilli powder', ' cumin powder', ' salt']"
South Indian Recipes,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),"['yellow moong', ' cucumber', ' carrot', ' coconut', ' lemon juice', ' salt', ' sunflower oil', ' mustard seeds', ' green chillies', ' asafoetida hing', ' curry leaves', ' coriander dhania']"
South Indian Recipes,Ragi Masala Roti Recipe,"['ragi flour finger millet', ' onion', ' green chillies', ' carrot', ' dill leaves', ' coriander dhania leaves', ' cumin seeds', ' salt', ' ghee']"
North Indian Recipes,Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,"['cottage cheese', ' sunflower oil', ' green peas', ' salt', ' sugar', ' red chilli powder', ' milk', ' fenugreek leaves', ' onion red', ' tomatoes', ' ginger', ' garlic', ' ghee butter', ' red chillies', ' cardamom', ' cinnamon stick', ' black peppercorns', ' coriander dhania seeds', ' cashew nuts']"
South Indian Recipes,Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,"['green amaranth', ' tamarind soaked', ' onion', ' tomato', ' garlic', ' mustard seeds', ' asafoetida hing', ' curry leaves', ' sambar powder', ' fenugreek powder', ' sesame', ' salt', ' salt']"
North Indian Recipes,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,"['button', ' tomato', ' garlic', ' ginger', ' green chillies', ' cumin seeds', ' cinnamon stick', ' cumin powder', ' turmeric powder haldi', ' garam masala powder', ' cream', ' ghee', ' salt']"
North Indian Recipes,Dahi Bhalla Papdi Chaat Recipe,"['curd vada', ' papdi', ' sweet chutney tamarind', ' green chutney coriander mint', ' chaat masala', ' cumin powder', ' onions', ' carrot', ' powder pomegranate seed powder', ' peanuts moongphali roasted', ' boondi', ' coriander']"
North Indian Recipes,Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,"['potatoes', ' cheese', ' tomatoes', ' ginger', ' green chillies', ' red chilli powder', ' coriander powder', ' cumin powder', ' salt', ' green coriander']"
Indian,Cauliflower Matar Bhurji (Recipe in Hindi),"['cabbage', ' green peas', ' onion', ' green chillies', ' tomato', ' ginger garlic paste', ' turmeric powder', ' garam masala powder', ' oil', ' red chilli powder', ' salt', ' coriander leaves']"
Indian,Aromatic Vegetable Pulao Recipe,"['rice', ' sunflower oil', ' onion', ' tomato', ' ginger garlic paste', ' red chilli powder', ' carrots', ' green peas matar steamed', ' green bell pepper capsicum', ' potato aloo', ' cardamom', ' cloves', ' garam masala powder', ' star anise', ' cinnamon stick', ' coriander', ' mint leaves', ' salt']"
Indian,Spicy Curd Recipe - Spicy Curd With Onions,"['water', ' curd', ' carrot', ' cucumber chop', ' salt', ' oil', ' coriander leaves', ' cumin seeds', ' red chilli powder', ' cumin seeds', ' onion', ' green chili']"
Indian,Mustard Vegetable Curry Recipe,"['oil', ' cumin seeds', ' garlic', ' onions', ' red chilli powder', ' turmeric powder', ' coconut milk', ' vegetable stock', ' dijon mustard', ' carrots', ' green beans', ' green peas steam', ' potatoes', ' salt']"
Indian,One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,"['basmati rice', ' coconut', ' turmeric powder', ' beans french beans', ' cauliflower gobi', ' carrots', ' garlic', ' ginger', ' green chillies', ' cloves', ' cardamom', ' cinnamon stick', ' bay leaf', ' salt', ' ghee']"
Indian,Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,"['rice', ' yellow moong dal', ' carrot', ' beans french beans', ' ghee', ' cumin seeds', ' asafoetida hing', ' salt']"
North Indian Recipes,Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),"['aloo chopped', ' curd dahi', ' flour', ' asafoetida hing', ' cumin seeds', ' curry leaves', ' onion', ' ginger', ' garlic', ' green chillies', ' red chilli powder', ' coriander powder', ' turmeric powder', ' salt', ' sunflower oil', ' coriander dhania']"
Continental,Eggless Devil's Food Cake Recipe,"['all purpose flour', ' cocoa powder', ' baking powder', ' salt', ' butter softened', ' sugar', ' vanilla extract', ' eggs egg', ' curd dahi yogurt', ' red food', ' chocolate ganache', ' flax seed flax', ' water']"
Continental,"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe","['chicken sausage', ' butter', ' dry', ' extra virgin olive oil', ' onion', ' garlic', ' honey', ' cumin powder', ' oregano', ' red chilli powder', ' salt and pepper', ' broccoli', ' garlic', ' thyme leaves', ' oregano', ' salt', ' black pepper powder']"
Indian,Crispy Chicken Dumplings Recipe,"['boneless', ' ginger garlic paste', ' red chilli powder', ' coriander powder', ' turmeric powder', ' black pepper powder', ' green chillies', ' curry leaves', ' egg', ' flour', ' corn flour', ' salt', ' sunflower oil']"
South Indian Recipes,Fruit Pachadi Recipe,"['pineapple', ' yogurt whisk', ' turmeric powder', ' jaggery', ' salt', ' water', ' coconut tighten', ' green chillies', ' mustard', ' mustard', ' red peppers', ' oil', ' curry leaves']"
Indian,Aloo Matar Masala Khichdi Recipe,"['rice', ' green peas', ' cubes', ' onion', ' ginger garlic paste', ' green chillies', ' black cardamom', ' bay leaf', ' cardamom', ' cinnamon stick', ' cloves', ' cumin seeds', ' coriander powder', ' cumin powder', ' black pepper powder', ' red chilli powder', ' ghee', ' coriander dhania', ' salt']"
Indian,Rock Toast Recipe - Semolina Bread Toast,"['semolina', ' curd dahi yogurt', ' onion powder', ' green bell pepper capsicum', ' coriander dhania', ' chilli', ' black pepper powder', ' salt', ' sunflower oil']"
North Indian Recipes,Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),"['aloo peeled', ' round', ' tomato puree', ' cumin seeds', ' asafoetida hing', ' coriander powder', ' turmeric powder', ' red chilli powder', ' garam masala powder', ' salt', ' sunflower oil', ' coriander', ' onions', ' garlic', ' ginger', ' green chillies']"
Indian,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,"['brown bread', ' tomatoes', ' cucumber', ' salt', ' black pepper powder', ' chaat masala', ' butter', ' green chutney coriander mint', ' tomato ketchup']"
Continental,Homemade Granola Mix Recipe with Oats & Wheat Flakes,"['oats oatmeal', ' wheat flakes cereal', ' pine nuts', ' pumpkin seeds', ' dried', ' raspberries', ' raisins sultana', ' badam almond', ' walnuts', ' cinnamon powder', ' nutmeg powder', ' vanilla extract', ' sunflower oil', ' honey']"
North Indian Recipes,Baingan Sarson Ka Saag Recipe,"['small', ' mustard', ' onion', ' garlic', ' ginger', ' cumin seeds', ' red chilli powder', ' coriander powder', ' garam masala powder', ' dry mango powder', ' salt', ' mustard oil']"
North Indian Recipes, Stuffed Bhindi With Paneer (Recipe In Hindi),"['okra', ' oil', ' onion', ' tomato', ' ginger', ' garlic', ' cumin seeds', ' asafoetida', ' salt', ' cottage cheese', ' coriander powder', ' mango powder', ' red chilli powder', ' turmeric powder', ' salt']"
North Indian Recipes,Bael Ka Sharbat Recipe - Wood Apple Squash Drink,"['wood apple bael fruit', ' jaggery sugar', ' black salt kala namak', ' cumin powder', ' lemon juice', ' mint leaves', ' water chilled', ' ice cubes']"
Indian,Safed Achari Baingan Recipe - White Aubergine in pickled spices,"['brinjal', ' onion', ' cumin seeds', ' mustard seeds', ' ginger', ' garlic', ' turmeric powder', ' coriander powder', ' red chilli powder', ' dry mango powder', ' tomato', ' salt', ' coriander', ' red chilli powder', ' mustard seeds', ' cumin seeds', ' fennel seeds', ' kalonji onion nigella seeds', ' seeds', ' seeds fenugreek seeds', ' dry red chillies', ' sunflower oil']"
South Indian Recipes,Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),"['gourd', ' curd dahi yogurt', ' coconut', ' sunflower oil', ' turmeric powder haldi', ' salt', ' red chilli', ' cumin seeds', ' mustard seeds', ' sunflower oil', ' asafoetida hing']"
Indian,Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,"['gourd', ' coriander powder', ' red chilli powder', ' asafoetida', ' flour', ' black salt kala namak', ' sunflower oil', ' curd greek yogurt', ' chaat masala', ' sweet chutney tamarind', ' sev', ' aloo bhujia', ' dates few', ' coriander']"
North Indian Recipes,Kasuri Methi and Potato Frying Recipe,"['potatoes aloo mashed', ' tomatoes', ' ginger', ' green chillies', ' fenugreek leaves', ' fennel seeds', ' cumin seeds', ' seeds fenugreek seeds', ' coriander powder', ' red chilli powder', ' cumin powder', ' turmeric powder', ' garam masala powder', ' dry mango powder', ' ghee', ' salt']"
North Indian Recipes,Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,"['moth sprouts', ' white', ' green chillies', ' fennel seeds', ' ginger', ' spinach leaves palak', ' salt', ' turmeric powder haldi', ' sunflower oil']"
North Indian Recipes,Gram and Potato Dry Vegetable Recipe,"['kabuli chana chickpeas', ' aloo boiled', ' onion', ' tomato', ' chilli', ' ginger garlic paste', ' red chilli powder', ' turmeric powder', ' coriander powder', ' garam masala powder', ' dry mango powder', ' cumin seeds', ' coriander', ' ginger', ' sunflower oil', ' salt']"
Indian,Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,"[' onion', ' garlic', ' ginger', ' tomatoes', ' coriander dhania', ' green chillies', ' fenugreek leaves', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' coriander powder', ' sunflower oil', ' salt']"
North Indian Recipes,Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,"['brinjal', ' mustard', ' onion', ' garlic', ' ginger', ' cumin', ' red chili powder', ' coriander powder', ' masala powder', ' mango powder', ' salt', ' mustard oil']"
North Indian Recipes,Stuffed Arbi Paratha Recipe,"['colocasia', ' green chilli', ' cumin powder', ' coriander powder', ' red chilli powder', ' turmeric powder', ' garam masala powder', ' dry mango powder', ' salt', ' coriander', ' wheat flour', ' sunflower oil', ' salt']"
Continental,Chocolate Chip & Raisin Rolls Recipe,"['wheat flour', ' all purpose flour', ' milk', ' dry yeast', ' honey', ' butter softened', ' salt', ' water', ' raisins', ' chocolate chips dark', ' ricotta cheese', ' zest orange', ' sugar']"
North Indian Recipes,Baby Corn Cigar Recipe,"['baby corn', ' wheat bread crumbs roasted', ' corn flour', ' olive oil', ' vinegar', ' aloo boiled mashed', ' coriander', ' pizza seasoning', ' garlic paste', ' red chilli powder', ' green chilli paste', ' ginger paste', ' salt', ' sunflower oil']"
North Indian Recipes,Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,"['wheat flour', ' oats oatmeal', ' extra virgin olive oil', ' salt', ' seeds', ' water', ' green peas', ' green chilli', ' coriander', ' dry mango powder', ' chaat masala', ' red chilli powder', ' salt']"
Continental,Masala Carrot And Peas Sandwich Recipe,"['brown bread', ' carrot', ' green peas matar', ' garlic', ' green chillies', ' black pepper powder', ' chaat masala', ' cheese', ' salt']"
North Indian Recipes,Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,"['onions', ' red chili powder', ' turmeric powder', ' mango powder', ' coriander powder', ' salt', ' garlic', ' ginger', ' coriander']"
North Indian Recipes,Aam Panna Pani Puri Recipe,"['pani', ' aloo boiled', ' green moong sprouts', ' salt', ' cumin powder', ' chaat masala', ' red chilli powder', ' mango raw', ' mint leaves', ' cumin powder', ' black salt kala namak', ' black pepper powder', ' sugar']"
Continental,Whole Wheat Espresso Chocolate Streusel Cake Recipe,"['apricots', ' whole wheat flour', ' sugar demerara sugar', ' unsalted cold', ' cinnamon powder', ' sugar', ' pecans', ' whole wheat flour', ' butter', ' cocoa powder', ' dark chocolate', ' brown sugar demerara sugar', ' coffee decoction', ' eggs', ' vanilla extract', ' sour cream', ' baking powder', ' baking soda']"
